wikidata|samian
Q103188828|1001299
Q103143752|1001300
Q103176950|1001301
Q103194067|1001302
Q103138766|1001303
Q103183207|1001304
Q103196760|1001305
Q103189703|1001306
Q103197125|1001307
Q103141449|1001308
Q103146841|1001309
Q103160500|1001310
Q103162504|1001311
Q103199655|1001312
Q103196082|1001313
Q103164391|1001314
Q103150591|1001315
Q103163075|1001316
Q103193606|1001317
Q103191666|1001318
Q103190214|1001319
Q103170564|1001320
Q103194101|1001321
Q103195903|1001322
Q103158783|1001323
Q103187598|1001324
Q103198864|1001325
Q103200210|1001326
Q103163091|1001327
Q103143578|1001328
Q103139975|1001329
Q103160816|1001330
Q103143354|1001331
Q103160131|1001333
Q103160001|1001335
Q103140666|1001336
Q103196588|1001337
Q103194546|1001338
Q103192301|1001340
Q103198543|1001341
Q103160576|1001342
Q103194820|1001343
Q103159335|1001344
Q103183110|1001347
Q103164336|1001349
Q103195927|1001350
Q103199376|1001351
Q103200074|1001352
Q103162593|1001353
Q103144202|1001354
Q103163224|1001355
Q103187791|1001356
Q103160776|1001357
Q103163911|1001358
Q103162699|1001359
Q103197423|1001360
Q103192354|1001361
Q103178601|1001362
Q103164102|1001363
Q103143803|1001364
Q103163460|1001365
Q103192246|1001366
Q103189433|1001367
Q103160682|1001370
Q103190906|1001371
Q103157683|1001372
Q103163034|1001373
Q103165363|1001374
Q103200088|1001375
Q103165158|1001376
Q103158500|1001377
Q103145753|1001378
Q103177377|1001379
Q103164453|1001380
Q103158945|1001381
Q103176000|1001384
Q103186754|1001385
Q103145524|1001387
Q103192048|1001388
Q103164094|1001389
Q103160883|1001390
Q103162088|1001391
Q103199650|1001392
Q103186746|1001393
Q103190131|1001394
Q103163435|1001395
Q103196826|1001396
Q103192509|1001397
Q103160879|1001398
Q103159442|1001399
Q103141401|1001401
Q103194622|1001402
Q103162344|1001403
Q103143853|1001404
Q103187315|1001405
Q103199542|1001406
Q103194036|1001407
Q103185699|1001408
Q103159772|1001409
Q103195688|1001410
Q103146029|1001411
Q103193321|1001412
Q103195391|1001413
Q103161449|1001414
Q103189448|1001415
Q103185333|1001416
Q103176348|1001417
Q103160572|1001418
Q103160451|1001419
Q103180744|1001421
Q103181171|1001423
Q103196753|1001425
Q103145550|1001426
Q103187767|1001428
Q103164332|1001429
Q103188367|1001430
Q103163485|1001431
Q103199686|1001432
Q103193826|1001433
Q103181285|1001434
Q103142057|1001436
Q103197241|1001437
Q103182205|1001438
Q103183060|1001439
Q103192612|1001440
Q103160460|1001441
Q103181137|1001442
Q103172213|1001443
Q103161535|1001444
Q103199590|1001445
Q103159629|1001446
Q103195306|1001447
Q103173406|1001448
Q103196324|1001449
Q103158902|1001450
Q103160819|1001452
Q103192580|1001453
Q103195666|1001454
Q103187809|1001455
Q103160249|1001456
Q103164638|1001458
Q103145798|1001459
Q103189939|1001460
Q103179999|1001461
Q103191769|1001462
Q103193526|1001463
Q103161404|1001464
Q103177744|1001465
Q103191165|1001466
Q103140868|1001467
Q103162534|1001468
Q103159312|1001469
Q103179675|1001470
Q103198000|1001471
Q103159115|1001473
Q103161488|1001474
Q103197687|1001475
Q103165986|1001476
Q103197337|1001477
Q103141458|1001478
Q103160287|1001479
Q103176403|1001480
Q103192443|1001481
Q103178875|1001483
Q103193657|1001484
Q103157977|1001485
Q103186085|1001486
Q103182941|1001487
Q103198346|1001488
Q103192148|1001489
Q103164299|1001490
Q103143401|1001491
Q103200413|1001492
Q103145581|1001493
Q103194047|1001494
Q103171131|1001495
Q103163624|1001496
Q103161898|1001497
Q103188245|1001498
Q103197970|1001499
Q103178572|1001500
Q103143332|1001501
Q103144048|1001502
Q103190069|1001503
Q103193842|1001504
Q103162002|1001505
Q103200169|1001506
Q103155616|1001507
Q103159546|1001508
Q103148522|1001510
Q103189598|1001511
Q103160696|1001512
Q103199992|1001513
Q103163597|1001514
Q103186765|1001515
Q103185180|1001516
Q103197794|1001517
Q103160010|1001518
Q103158557|1001519
Q103161238|1001520
Q103193923|1001522
Q103163196|1001523
Q103198110|1001524
Q103199568|1001525
Q103139984|1001526
Q103200223|1001527
Q103181273|1001528
Q103197842|1001529
Q103196948|1001530
Q103179196|1001531
Q103163110|1001532
Q103158844|1001533
Q103145944|1001534
Q103195497|1001535
Q103184825|1001536
Q103195158|1001537
Q103190994|1001538
Q103161751|1001539
Q103159720|1001540
